acc_1,acc_2,acc_3,tacc,av_1,av_2,av_3,tav
7.7326,0.60669,6.3552,11.31,0.70505,0.016042,0.70896,11.385
7.6822,1.512,5.9739,11.409,0.62421,0.016175,0.64841,11.484
7.6015,1.29,6.6947,11.509,0.47655,0.019871,0.63636,11.584
7.3874,0.39832,5.7626,11.608,0.41934,0.018826,0.65036,11.684
7.3163,0.081281,6.1055,11.707,0.60584,0.023326,0.55067,11.783
7.4774,2.1994,6.1018,11.806,0.50522,-0.021832,0.30486,11.883
7.468,1.6018,5.8539,11.906,0.20959,0.033086,0.17572,11.982
7.0194,1.6966,7.0554,12.005,-0.19803,-0.02111,0.13766,12.082
7.3645,-0.19325,6.5499,12.104,-0.26032,-0.029181,0.069821,12.181
7.0548,0.059127,6.997,12.203,-0.23922,-0.014831,-0.093983,12.281
7.125,1.6569,6.5775,12.303,-0.416,0.024921,-0.30405,12.381
6.3829,1.7526,7.0131,12.402,-0.59842,0.017481,-0.56819,12.48
7.3105,1.1116,6.8978,12.501,-0.53044,0.063914,-0.66014,12.579
7.0171,0.75563,6.7716,12.6,-0.44454,-0.0006068,-0.78818,12.678
8.1437,1.0873,6.5582,12.699,-0.73271,-0.053434,-0.94324,12.777
8.4868,-0.064516,5.9214,12.799,-0.72592,-0.024091,-0.78067,12.875
8.2998,-1.19,5.9859,12.898,-0.49857,-0.062117,-0.58902,12.974
7.56,-0.78751,6.3471,12.997,-0.56912,-0.026102,-0.45972,13.073
7.1065,-0.45101,6.0916,13.096,-0.35601,0.012397,-0.3389,13.172
7.2966,-0.9628,6.4544,13.195,-0.3508,-0.040293,-0.21781,13.271
7.0617,-1.2129,7.0279,13.295,-0.22005,-0.030732,-0.20456,13.37
6.8498,0.42781,6.9032,13.394,-0.14541,-0.011779,0.0070788,13.469
6.8047,-0.074545,7.1104,13.493,0.044987,0.026774,0.10197,13.568
7.1996,-1.0888,6.9143,13.592,0.39288,0.017498,0.33519,13.666
7.1951,-0.70444,6.702,13.692,0.34353,0.063106,0.43934,13.765
7.308,0.070803,7.0042,13.791,0.39545,0.062241,0.53225,13.864
7.338,0.69171,6.9134,13.89,0.42947,0.023216,0.60045,13.963
7.7699,-0.36764,6.2104,13.989,0.62405,0.03061,0.77159,14.062
7.4943,0.27124,5.8513,14.088,0.63255,0.022513,0.73903,14.161
7.6316,1.2643,6.2675,14.188,0.616,-0.0010519,0.71573,14.259
7.4337,1.0221,6.0775,14.287,0.54224,-0.012934,0.59782,14.357
7.6744,0.9854,6.0242,14.386,0.59658,-0.029954,0.51652,14.456
7.0155,2.707,5.6844,14.485,0.8824,0.026581,0.25883,14.555
7.128,3.9031,6.5427,14.585,-0.67049,-0.0050011,0.10902,14.654
7.1952,-0.95771,6.4924,14.684,0.18954,0.0064995,0.10681,14.753
6.8843,0.5534,7.1828,14.783,-0.19348,-0.043716,0.16477,14.852
7.1903,0.58873,6.5766,14.882,0.085037,-0.0093586,-0.046562,14.951
6.9909,2.7386,7.2171,14.981,-0.16143,-0.0061537,-0.30151,15.05
7.111,2.3839,6.9646,15.081,-0.77202,0.019952,-0.51874,15.149
7.1042,1.2171,6.4106,15.18,-0.67372,0.034602,-0.58541,15.247
7.2764,-0.56268,7.1771,15.279,-0.56617,0.021616,-0.60877,15.346
7.255,0.28037,6.5098,15.378,-0.44367,0.021327,-0.70125,15.445
7.3844,0.85457,6.0916,15.477,-0.83565,-0.043755,-0.78847,15.544
8.8318,-0.61507,5.0505,15.577,-0.7288,-0.09296,-0.74769,15.643
7.9744,-1.2761,5.6425,15.676,-0.4587,-0.0326,-0.45396,15.742
7.5223,-0.76132,6.6591,15.775,-0.11681,0.011381,-0.36312,15.841
7.3349,0.80847,6.3013,15.874,-0.14824,0.018247,-0.20365,15.94
7.2615,-2.2604,6.2362,15.973,-0.10432,0.0092453,-0.16728,16.039
7.2563,0.56268,6.8393,16.073,-0.029717,0.019463,-0.14377,16.138
7.0099,0.19639,6.7108,16.172,0.13102,-0.013292,-0.084912,16.237
7.265,0.17888,6.7746,16.271,0.089332,-0.00059639,0.052215,16.336
6.946,-1.1201,6.8763,16.37,0.081818,0.020604,0.27255,16.435
7.178,-1.2554,6.7372,16.47,0.27973,0.027589,0.32817,16.534
6.8616,-0.58648,6.6888,16.569,0.42316,0.04819,0.54027,16.633
7.1988,-0.68632,6.8412,16.668,0.46947,0.047846,0.60283,16.732
7.5934,-0.061372,6.5981,16.767,0.55074,0.024215,0.73207,16.831
7.6781,-0.9119,5.6401,16.866,0.58844,-0.02199,0.8397,16.93
7.5124,0.56148,5.8473,16.966,0.73962,0.025062,0.67231,17.029
8.1396,1.9458,6.3321,17.065,0.57233,0.026834,0.58662,17.128
7.5882,0.58468,5.8882,17.164,0.30148,-0.0079159,0.51829,17.227
6.8909,0.96849,6.5561,17.263,0.5366,0.017252,0.31286,17.326
7.1409,2.6315,6.567,17.362,-0.19625,-0.0040392,0.18604,17.425
7.1539,-0.70773,6.9346,17.462,-0.37035,-0.0056505,0.13793,17.523
7.1291,0.2651,6.596,17.561,-0.0049138,-0.0074769,0.11672,17.622
7.2482,-0.56478,6.1968,17.66,-0.31021,-0.025676,0.069553,17.721
7.0036,0.39697,6.7902,17.759,0.035838,0.015706,0.046098,17.82
6.714,0.56358,6.6116,17.859,0.019508,0.0047463,-0.0013701,17.919
6.7804,0.88346,7.2186,17.958,-0.048429,0.064538,-0.2018,18.018
6.576,2.1012,6.8231,18.057,-0.33354,0.069457,-0.54767,18.117
6.7065,1.9329,7.017,18.156,-0.62709,0.032449,-0.84369,18.217
7.8994,2.463,5.5802,18.256,-0.93557,-0.0057395,-1.0218,18.316
8.1842,0.53169,6.4013,18.355,-0.90457,-0.061316,-0.97722,18.415
8.579,-0.7471,5.4059,18.454,-0.99963,-0.083425,-0.81149,18.514
8.4022,-0.76596,5.9202,18.553,-0.76537,-0.040757,-0.56314,18.613
7.7058,-2.2078,6.5773,18.652,-0.0856,-0.016866,-0.426,18.712
7.6054,-1.6009,6.457,18.752,-0.18576,-0.017663,-0.19814,18.812
7.3115,-2.2631,6.4428,18.851,-0.026843,-0.0019078,-0.11468,18.911
7.1017,1.2107,6.517,18.95,-0.050626,-0.0050983,-0.091157,19.01
7.0943,0.79305,6.4085,19.049,0.024502,-0.0083136,-0.035685,19.109
6.9692,0.39263,7.0818,19.149,-0.084379,-0.019649,-0.01376,19.208
6.9355,-0.51059,7.0822,19.248,0.23484,0.0215,0.21226,19.308
7.2325,-1.8436,7.0191,19.347,0.45352,0.049033,0.42692,19.407
6.9185,-1.1316,6.8703,19.446,0.25368,0.06537,0.69352,19.506
7.5144,0.017065,5.8079,19.545,0.54399,0.034566,0.73278,19.606
7.4373,0.55175,6.2044,19.645,0.68874,0.029785,0.74435,19.705
7.7664,0.042661,6.2767,19.744,0.76497,0.037333,0.74151,19.804
7.9426,0.46254,5.8546,19.843,0.78238,0.045543,0.69952,19.903
7.9073,0.58409,6.089,19.942,0.60446,0.039166,0.64721,20.003
7.5301,0.94828,5.7016,20.041,0.20453,0.0321,0.65969,20.102
7.5243,2.1438,6.3607,20.141,0.44935,0.019041,0.38869,20.202
7.3014,4.4895,6.3329,20.24,-0.19675,-0.0071853,0.12699,20.301
6.8845,0.44607,6.5933,20.339,-0.65577,-0.036686,0.092704,20.4
7.2077,0.12304,7.0553,20.438,0.049548,-0.033775,-0.0039148,20.5
7.036,1.1795,6.7141,20.538,-0.28986,-0.0055188,-0.15231,20.599
6.9078,0.84095,6.6532,20.637,-0.28172,0.014305,-0.28619,20.699
7.0321,0.72419,7.0063,20.736,-0.41336,0.019115,-0.36804,20.798
6.6664,1.1034,7.2301,20.835,-0.42348,0.04558,-0.52734,20.896
7.024,1.7207,6.43,20.934,-0.67556,0.050663,-0.75578,20.996
7.2056,1.0074,6.4573,21.034,-0.71797,-0.013738,-0.92762,21.095
8.1362,-0.17918,6.1715,21.133,-0.60785,-0.038731,-0.93466,21.195
8.6143,-0.39413,5.384,21.232,-0.64368,-0.08702,-0.73659,21.294
8.2787,-1.7506,6.4502,21.331,-0.36219,-0.08971,-0.65274,21.394
7.889,-1.2539,6.0501,21.431,-0.64288,-0.025834,-0.36156,21.493
7.7611,-1.1143,6.4707,21.53,-0.3649,-0.038188,-0.19469,21.593
7.3359,-0.94858,6.4407,21.629,-0.055836,-0.026403,-0.20603,21.693
7.4033,1.0064,6.999,21.728,-0.097647,-0.013827,-0.057865,21.792
7.1391,0.53499,6.5582,21.827,0.10049,-0.0037011,-0.049786,21.892
7.1358,0.16481,6.8066,21.927,0.084192,0.007218,0.083602,21.991
7.2627,-1.0638,6.9463,22.026,0.14151,0.033537,0.29321,22.091
7.2511,-1.0596,6.8995,22.125,0.37201,0.047276,0.49155,22.191
7.3279,-0.29758,6.6019,22.224,0.42387,0.068023,0.60039,22.29
7.2376,0.30761,6.5073,22.324,0.5381,0.083421,0.66348,22.39
7.7506,0.11331,6.2128,22.423,0.542,0.044246,0.70807,22.49
7.037,0.66073,6.0521,22.522,0.72815,0.056666,0.78776,22.589
7.1887,1.1873,5.7681,22.621,0.52393,-0.008774,0.73697,22.689
7.9601,0.89424,6.4068,22.72,0.54355,0.022202,0.65547,22.789
7.5906,1.7047,6.2176,22.82,0.23107,0.0066354,0.62807,22.888
7.5912,2.9354,6.568,22.919,-0.13781,-0.012249,0.38984,22.988
7.4985,1.0619,6.7104,23.018,0.57633,-0.008644,0.11711,23.088
7.1342,1.1998,6.0925,23.117,-0.58464,-0.015326,0.10409,23.188
7.2803,-0.40161,6.6502,23.216,0.24741,-0.067169,0.07256,23.287
6.8932,2.6703,7.046,23.316,-0.38789,-0.0022789,-0.13278,23.387
7.2912,2.181,6.8586,23.415,-0.48388,0.018569,-0.36699,23.487
7.1602,0.62076,6.7662,23.514,-0.27673,0.010968,-0.40995,23.587
7.1598,1.2812,6.477,23.613,-0.58472,0.010357,-0.5361,23.687
7.1643,0.77554,6.4743,23.713,-0.70203,0.0076558,-0.60756,23.787
7.3617,-0.032333,6.1631,23.812,-0.67086,0.033914,-0.57927,23.886
6.9203,-0.68363,6.5673,23.911,-0.53171,0.014873,-0.61482,23.986
8.1333,0.31465,5.6871,24.01,-0.77638,-0.061729,-0.70855,24.086
7.3463,-0.69411,6.0455,24.109,-0.68954,-0.021521,-0.74857,24.185
8.4303,-2.2561,6.3104,24.209,-0.1995,-0.0012731,-0.50046,24.285
7.6741,-0.97043,6.8306,24.308,-0.36246,0.0015855,-0.24453,24.385
7.3401,-0.12469,6.4926,24.407,-0.29277,0.0074536,-0.17968,24.485
7.6913,-0.18636,6.3083,24.506,-0.014988,-0.015718,-0.17598,24.585
6.968,-0.021405,6.6608,24.605,0.34412,0.0057139,-0.10726,24.685
7.1611,0.82269,6.2803,24.705,-0.057077,0.0068524,-0.063575,24.785
7.1833,-0.39024,6.7107,24.804,0.28546,-0.015459,0.046982,24.884
7.0755,-0.42107,6.6317,24.903,0.15712,0.035016,0.22865,24.982
7.1925,-0.39608,6.9442,25.002,0.3005,0.036164,0.34303,25.081
7.0105,0.03368,6.8505,25.101,0.37517,0.039912,0.46241,25.179
7.049,-0.056283,6.8063,25.201,0.32747,0.014918,0.51361,25.278
